mode,thinking,concurrency,aggregate_tps,completed_requests,request_count,errors,capacity_limited_flag,effective_concurrency,max_running_reqs,ttft_p50_ms,itl_p50_ms,latency_p50_ms,user_tps_p50,accept_length,accept_rate,engine_steps_per_second,context_tokens,max_tokens,temperature,ignore_eos,reasoning_effort,disable_thinking
autoregressive,high,1,150.072798003136,5,5,0,False,0.0,0,267.21470200209296,6.371734187684958,6784.314245000132,156.9431446046135,0.0,0.0,0.0,8192,1024,0.0,True,high,False
autoregressive,high,2,273.841113741063,10,10,0,False,0.0,0,487.44403650016466,6.813567601663332,7456.205228501858,146.76599584630202,0.0,0.0,0.0,8192,1024,0.0,True,high,False
autoregressive,high,4,494.42221698108153,20,20,0,False,0.0,0,492.58593100057624,7.516441145162567,8180.515773501611,133.04168565155487,0.0,0.0,0.0,8192,1024,0.0,True,high,False
autoregressive,high,8,863.1060443710152,40,40,0,False,0.0,0,481.73679749925213,8.795356513197468,9480.15503750139,113.69635768043382,0.0,0.0,0.0,8192,1024,0.0,True,high,False
autoregressive,high,16,1454.7629250971956,80,80,0,False,0.0,0,670.3705529998842,10.317299543008561,11225.422358998912,96.92458727723418,0.0,0.0,0.0,8192,1024,0.0,True,high,False
autoregressive,high,32,2358.7018497631702,160,160,0,False,0.0,0,838.7237725000887,12.791613421798049,13761.825298501208,78.17622117259805,0.0,0.0,0.0,8192,1024,0.0,True,high,False
autoregressive,high,64,3810.6573372527905,320,320,0,False,0.0,0,1046.8881460001285,15.729788730693404,17223.607106499912,63.573645411848545,0.0,0.0,0.0,8192,1024,0.0,True,high,False
autoregressive,high,128,5807.953896180938,640,640,0,False,122.1,128,2116.4998815074796,19.842776072347327,22522.61714199267,50.39617422249667,0.0,0.0,0.0,8192,1024,0.0,True,high,False
autoregressive,low,1,151.2086481889866,5,5,0,False,0.0,0,249.20755499988445,6.369702305962901,6765.349145000073,156.99320815414953,0.0,0.0,0.0,8192,1024,0.0,True,low,False
autoregressive,low,2,273.81701007721824,10,10,0,False,0.0,0,467.211146498812,6.815090162268117,7438.314836499558,146.73320329381102,0.0,0.0,0.0,8192,1024,0.0,True,low,False
autoregressive,low,4,500.60001479014403,20,20,0,False,0.0,0,472.7694435023295,7.522934797653332,8168.119628999193,132.9268466297228,0.0,0.0,0.0,8192,1024,0.0,True,low,False
autoregressive,low,8,867.56733570502,40,40,0,False,0.0,0,469.8113390004437,8.778974377810256,9449.297836999904,113.90852245339318,0.0,0.0,0.0,8192,1024,0.0,True,low,False
autoregressive,low,16,1448.223693575299,80,80,0,False,0.0,0,652.3638875005418,10.3899277018566,11277.317830499669,96.24706049137666,0.0,0.0,0.0,8192,1024,0.0,True,low,False
autoregressive,low,32,2393.032981127344,160,160,0,False,0.0,0,800.2492524992704,12.644194434508018,13600.756726000327,79.0876797424671,0.0,0.0,0.0,8192,1024,0.0,True,low,False
autoregressive,low,64,3797.785213458252,320,320,0,False,0.0,0,1038.606374499068,15.758565607525684,17179.59701899963,63.457552223133305,0.0,0.0,0.0,8192,1024,0.0,True,low,False
autoregressive,low,128,5808.4595783182485,640,640,0,False,124.7,128,2075.6093059972045,19.91110285826148,22453.66019100038,50.2232351258766,0.0,0.0,0.0,8192,1024,0.0,True,low,False
autoregressive,max,1,150.07562460066228,5,5,0,False,0.0,0,280.2615779983171,6.369756770282313,6796.569913996791,156.99186579076851,0.0,0.0,0.0,8192,1024,0.0,True,max,False
autoregressive,max,2,272.0648967136156,10,10,0,False,0.0,0,500.83062700105074,6.836791237045333,7500.085712998043,146.26744875068533,0.0,0.0,0.0,8192,1024,0.0,True,max,False
autoregressive,max,4,491.4762314623436,20,20,0,False,0.0,0,506.98744100191107,7.6120031133920225,8290.202510999734,131.3714654133817,0.0,0.0,0.0,8192,1024,0.0,True,max,False
autoregressive,max,8,845.1439893878213,40,40,0,False,0.0,0,498.1327110017446,8.976355763928629,9681.470225999874,111.40378415562446,0.0,0.0,0.0,8192,1024,0.0,True,max,False
autoregressive,max,16,1429.5886514489875,80,80,0,False,0.0,0,478.00042249946273,10.736657348973683,11465.11180249945,93.13885760851073,0.0,0.0,0.0,8192,1024,0.0,True,max,False
autoregressive,max,32,2236.9575466995157,160,160,0,False,0.0,0,770.8757724994939,13.524315960410316,14635.463044998687,73.94089334777874,0.0,0.0,0.0,8192,1024,0.0,True,max,False
autoregressive,max,64,3510.1150477097735,320,320,0,False,0.0,0,1044.6167705013067,17.133717060606877,18649.886881001294,58.36445159492991,0.0,0.0,0.0,8192,1024,0.0,True,max,False
autoregressive,max,128,5596.63020297993,640,640,0,False,124.4,128,2047.338331991341,20.86074131574439,23393.337580499065,47.93693497594732,0.0,0.0,0.0,8192,1024,0.0,True,max,False
dspark,high,1,340.132833703226,5,5,0,False,0.0,0,231.3098429949605,2.649075836754886,2941.314423995209,377.4901367961585,0.0,0.0,0.0,8192,1024,0.0,True,high,False
dspark,high,2,516.307069170281,10,10,0,False,0.0,0,232.907472000079,3.5421803797668203,3856.7700349994993,282.3158329030257,0.0,0.0,0.0,8192,1024,0.0,True,high,False
dspark,high,4,823.6922809676587,20,20,0,False,0.0,0,239.30980099976296,4.457833159333345,4812.502344000677,224.32461745120384,0.0,0.0,0.0,8192,1024,0.0,True,high,False
dspark,high,8,1263.7229474339615,40,40,0,False,0.0,0,413.6315649993776,5.9525859139772965,6451.3199030006945,167.99421562338003,0.0,0.0,0.0,8192,1024,0.0,True,high,False
dspark,high,16,1799.9479544214637,80,80,0,False,0.0,0,408.8878235015727,8.414859589443942,9046.323709004355,118.83838887503184,0.0,0.0,0.0,8192,1024,0.0,True,high,False
dspark,high,32,2482.8870430135153,160,160,0,False,0.0,0,401.20141050283564,12.916604844084263,13579.073243003222,77.41972586713368,0.0,0.0,0.0,8192,1024,0.0,True,high,False
dspark,high,64,4477.0944975268685,320,320,0,False,0.0,0,500.59493300068425,13.052732135389807,13842.587192502833,76.61239731658623,0.0,0.0,0.0,8192,1024,0.0,True,high,False
dspark,high,128,6458.590824943702,640,640,0,True,118.8,128,510.5717589976848,18.600609450151996,19658.619055495365,53.76167929810234,3.1180555555555554,0.4236111111111111,2071.3520685788267,8192,1024,0.0,True,high,False
dspark,low,1,345.81920680502805,5,5,0,False,0.0,0,217.61286000037217,2.662457543500397,2940.3022180013068,375.59284370231717,0.0,0.0,0.0,8192,1024,0.0,True,low,False
dspark,low,2,529.7189543296394,10,10,0,False,0.0,0,233.74234749826428,3.440810793252565,3819.3799129985564,290.6358676925198,0.0,0.0,0.0,8192,1024,0.0,True,low,False
dspark,low,4,823.7530601383452,20,20,0,False,0.0,0,234.27611899751355,4.522300259530397,4862.705486997584,221.13227873177692,0.0,0.0,0.0,8192,1024,0.0,True,low,False
dspark,low,8,1253.7667084865695,40,40,0,False,0.0,0,244.71658100083005,6.144707464808298,6528.278836998652,162.74167837349677,0.0,0.0,0.0,8192,1024,0.0,True,low,False
dspark,low,16,1809.5935861047592,80,80,0,False,0.0,0,398.9136545023939,8.429488906650802,9123.454169002798,118.63270494374268,0.0,0.0,0.0,8192,1024,0.0,True,low,False
dspark,low,32,2474.245367751889,160,160,0,False,0.0,0,404.01968999867677,12.579278741936577,13187.19733350008,79.4958152971601,0.0,0.0,0.0,8192,1024,0.0,True,low,False
dspark,low,64,4507.02393505761,320,320,0,False,0.0,0,478.67077350019827,13.147042587487164,13995.288366997556,76.06273889045147,0.0,0.0,0.0,8192,1024,0.0,True,low,False
dspark,low,128,6511.123362317942,640,640,0,True,120.1,128,522.3905750026461,18.484425608990524,19549.006977009412,54.09959851162192,2.97,0.394,2192.2974283898793,8192,1024,0.0,True,low,False
dspark,max,1,345.81619622317663,5,5,0,False,0.0,0,232.8386609951849,2.5279206217000674,2818.9963679978973,395.58204138842143,0.0,0.0,0.0,8192,1024,0.0,True,max,False
dspark,max,2,516.0837350111392,10,10,0,False,0.0,0,238.7562714975502,3.500153537143805,3847.4907370000437,285.75144356704357,0.0,0.0,0.0,8192,1024,0.0,True,max,False
dspark,max,4,791.5783069893945,20,20,0,False,0.0,0,314.5537435011647,4.560011234601576,5039.614081499167,219.29979291239854,0.0,0.0,0.0,8192,1024,0.0,True,max,False
dspark,max,8,1207.5969166452435,40,40,0,False,0.0,0,247.53365200012922,6.235282851418595,6709.579615500843,160.40559615165202,0.0,0.0,0.0,8192,1024,0.0,True,max,False
dspark,max,16,1714.6663656139622,80,80,0,False,0.0,0,258.0042775007314,9.023103184750754,9658.948337000766,110.8267554095995,0.0,0.0,0.0,8192,1024,0.0,True,max,False
dspark,max,32,2382.7923921383895,160,160,0,False,0.0,0,389.9811094997858,13.25773973167177,14001.252900496183,75.4285485922463,0.0,0.0,0.0,8192,1024,0.0,True,max,False
dspark,max,64,4371.854901886252,320,320,0,False,0.0,0,509.6306494997407,13.681990208700498,14627.91873000242,73.08879140358084,0.0,0.0,0.0,8192,1024,0.0,True,max,False
