case_tag,backend,variant,batch_size,seqlen,num_q_heads,num_kv_heads,head_dim,fwd_ms,bwd_ms,fwd_tflops,bwd_tflops,max_diff,num_iters,fwd_bw,bwd_bw
gdn2_h64,cudnn,gdn2,4,2048,64,64,128,0.249,2.034,181,67,0.000000,20,4.32,2.44
gdn2_h64,fla,gdn2,4,2048,64,64,128,1.479,5.669,30,24,0.000000,20,0.73,0.88
gdn2_h64,cudnn,gdn2,4,4096,64,64,128,0.473,4.032,191,67,0.000000,20,4.54,2.46
gdn2_h64,fla,gdn2,4,4096,64,64,128,2.916,11.276,31,24,0.000000,20,0.74,0.88
gdn2_h64,cudnn,gdn2,4,8192,64,64,128,0.918,8.036,197,67,0.000000,20,4.68,2.47
gdn2_h64,fla,gdn2,4,8192,64,64,128,5.772,22.466,31,24,0.000000,20,0.74,0.88
gdn2_h64,cudnn,gdn2,4,16384,64,64,128,1.809,16.039,199,67,0.000000,20,4.75,2.48
gdn2_h64,fla,gdn2,4,16384,64,64,128,11.469,44.851,31,24,0.000000,20,0.75,0.89
gdn2_h64,cudnn,gdn2,4,32768,64,64,128,3.590,32.059,201,68,0.000000,20,4.79,2.48
gdn2_h64,fla,gdn2,4,32768,64,64,128,22.873,86.102,32,25,0.000000,20,0.75,0.92
