family,variant,scope,world_size,batch_per_rank,sequence_length,parameters,blocks,timing_scope,forward_ms,backward_ms,step_ms,tokens_per_second,forward_tflops,backward_tflops,peak_reserved_mib,source
gdn2,cudnn,one_node_sweep,1,4,2048,,,operator_forward_backward,0.249,2.016,2.265,3616777.042,181,67,,../gdn2-linear-attention/data/results.csv
gdn2,cudnn,one_node_sweep,1,4,4096,,,operator_forward_backward,0.470,4.005,4.475,3661229.050,192,68,,../gdn2-linear-attention/data/results.csv
gdn2,cudnn,one_node_sweep,1,4,8192,,,operator_forward_backward,0.913,7.983,8.896,3683453.237,197,68,,../gdn2-linear-attention/data/results.csv
gdn2,cudnn,one_node_sweep,1,4,16384,,,operator_forward_backward,1.796,15.928,17.724,3697585.195,201,68,,../gdn2-linear-attention/data/results.csv
gdn2,cudnn,one_node_sweep,1,4,32768,,,operator_forward_backward,3.562,31.801,35.363,3706472.867,203,68,,../gdn2-linear-attention/data/results.csv
gdn2,fla,one_node_sweep,1,4,2048,,,operator_forward_backward,1.514,5.560,7.074,1158043.540,30,24,,../gdn2-linear-attention/data/results.csv
gdn2,fla,one_node_sweep,1,4,4096,,,operator_forward_backward,2.976,11.034,14.010,1169450.393,30,25,,../gdn2-linear-attention/data/results.csv
gdn2,fla,one_node_sweep,1,4,8192,,,operator_forward_backward,5.878,22.002,27.880,1175322.812,31,25,,../gdn2-linear-attention/data/results.csv
gdn2,fla,one_node_sweep,1,4,16384,,,operator_forward_backward,11.718,43.850,55.568,1179383.818,31,25,,../gdn2-linear-attention/data/results.csv
gdn2,fla,one_node_sweep,1,4,32768,,,operator_forward_backward,23.369,83.990,107.359,1220875.753,31,26,,../gdn2-linear-attention/data/results.csv
transformer_engine,bf16,one_node_fixed,1,64,2048,973111296,4,full_training_step,,,533.638349,245619.529,,,101800,../transformer-engine-training/data/results.csv
transformer_engine,fp8-delayed-dpa,one_node_fixed,1,64,2048,973111296,4,full_training_step,,,317.168056,413257.254,,,87736,../transformer-engine-training/data/results.csv
transformer_engine,mxfp8,one_node_fixed,1,64,2048,973111296,4,full_training_step,,,359.690696,364401.975,,,112506,../transformer-engine-training/data/results.csv
transformer_engine,bf16,two_node_fixed,2,64,2048,973111296,4,full_training_step,,,541.236438,484342.852,,,104846,../transformer-engine-training/data/results.csv
transformer_engine,fp8-delayed-dpa,two_node_fixed,2,64,2048,973111296,4,full_training_step,,,320.738556,817313.651,,,89486,../transformer-engine-training/data/results.csv
transformer_engine,mxfp8,two_node_fixed,2,64,2048,973111296,4,full_training_step,,,361.744803,724665.560,,,114066,../transformer-engine-training/data/results.csv
transformer_engine,fp8-delayed-dpa,one_node_practical,1,16,2048,973111296,4,full_training_step,,,80.519835,406955.626,,,26920,../transformer-engine-training/data/results.csv
mamba3,siso,one_node_fixed,1,16,2048,1034531840,10,full_training_step,,,383.380900,85471.133,,,75656,../mamba3-training/data/results.csv
mamba3,siso,two_node_fixed,2,16,2048,1034531840,10,full_training_step,,,387.527454,169113.180,,,79682,../mamba3-training/data/results.csv
mamba3,siso,one_node_best,1,32,2048,1034531840,10,full_training_step,,,752.454936,87096.246,,,144714,../mamba3-training/data/results.csv
mamba3,mimo-r4,one_node_fixed,1,64,2048,1067955200,10,full_training_step,,,7648.733398,17136.432,,,201594,../mamba3-training/data/results.csv
mamba3,mimo-r4,two_node_fixed,2,64,2048,1067955200,10,full_training_step,,,7786.996680,33664.327,,,205720,../mamba3-training/data/results.csv
