model_id,model_revision,runtime,topology,mtp_tokens,run_id,measurement_status,rankable,nominal_context_tokens,actual_prompt_tokens,samples,client_prompt_tokens_per_second,client_ttft_seconds,server_prompt_tokens_per_second,server_cached_tokens,source_artifact_sha256
zai-org/GLM-5.3-Flash,3f1971b7b5f7a528c9c4ef6212c8785298a8c24a,vllm,cross_node_tp2,0,glm53-flash-tp2-mtp0-20260826t1910z,MEASURED,true,8192,8194,10,12645,0.648,,,12f9d0f4fc4e3bfd6308411ddb02abccf9c4cb03ff2897378fb9cf098c007f17
zai-org/GLM-5.3-Flash,3f1971b7b5f7a528c9c4ef6212c8785298a8c24a,vllm,cross_node_tp2,0,glm53-flash-tp2-mtp0-20260826t1910z,MEASURED,true,65536,65538,1,3721,17.614,,,12f9d0f4fc4e3bfd6308411ddb02abccf9c4cb03ff2897378fb9cf098c007f17
zai-org/GLM-5.3-Flash,3f1971b7b5f7a528c9c4ef6212c8785298a8c24a,vllm,cross_node_tp2,0,glm53-flash-tp2-mtp0-20260826t1910z,MEASURED,true,131072,131073,1,6519,20.106,,,12f9d0f4fc4e3bfd6308411ddb02abccf9c4cb03ff2897378fb9cf098c007f17
zai-org/GLM-5.3-Flash,3f1971b7b5f7a528c9c4ef6212c8785298a8c24a,vllm,cross_node_tp2,5,glm53-flash-tp2-mtp5-full-20260826-method-v10,MEASURED,true,8192,8192,4,14871,0.551,15559,0,8c1f90d017892c950f553600a3d889141a361a385a5657bc838c5c4344753e25
zai-org/GLM-5.3-Flash,3f1971b7b5f7a528c9c4ef6212c8785298a8c24a,vllm,cross_node_tp2,5,glm53-flash-tp2-mtp5-full-20260826-method-v10,MEASURED,true,65536,65536,3,15438,4.245,15956,0,8c1f90d017892c950f553600a3d889141a361a385a5657bc838c5c4344753e25
zai-org/GLM-5.3-Flash,3f1971b7b5f7a528c9c4ef6212c8785298a8c24a,vllm,cross_node_tp2,5,glm53-flash-tp2-mtp5-full-20260826-method-v10,MEASURED,true,131072,131072,3,15431,8.494,15919,0,8c1f90d017892c950f553600a3d889141a361a385a5657bc838c5c4344753e25
zai-org/GLM-5.3-Flash,3f1971b7b5f7a528c9c4ef6212c8785298a8c24a,vllm,cross_node_tp2_ep2,5,glm53-flash-tep2-mtp5-full-20260826-method-v2,MEASURED,true,8192,8192,4,14214,0.576,14847,0,8619a90dd4f441e1702ffaa9e2ff4c23bbc5b1f2d370ee7e5d6ed83d80c08ed4
zai-org/GLM-5.3-Flash,3f1971b7b5f7a528c9c4ef6212c8785298a8c24a,vllm,cross_node_tp2_ep2,5,glm53-flash-tep2-mtp5-full-20260826-method-v2,MEASURED,true,65536,65536,3,15076,4.347,15555,0,8619a90dd4f441e1702ffaa9e2ff4c23bbc5b1f2d370ee7e5d6ed83d80c08ed4
zai-org/GLM-5.3-Flash,3f1971b7b5f7a528c9c4ef6212c8785298a8c24a,vllm,cross_node_tp2_ep2,5,glm53-flash-tep2-mtp5-full-20260826-method-v2,MEASURED,true,131072,131072,3,14873,8.813,15329,0,8619a90dd4f441e1702ffaa9e2ff4c23bbc5b1f2d370ee7e5d6ed83d80c08ed4
LibertAIDAI/GLM-5.3-Flash-NVFP4,aa28e1f54130286c95fee10d0705c74ce8743734,sglang,cross_node_tp2,0,glm53-nvfp4-tp2-mtp0-v1,MEASURED,true,8192,8194,30,15088.0,0.543,,,d624a68252542bd06e7422d204decac5fec25d33b7856e9630af82c152b17b90
LibertAIDAI/GLM-5.3-Flash-NVFP4,aa28e1f54130286c95fee10d0705c74ce8743734,sglang,cross_node_tp2,0,glm53-nvfp4-tp2-mtp0-v1,MEASURED,true,65536,65538,8,17245.0,3.8,,,d624a68252542bd06e7422d204decac5fec25d33b7856e9630af82c152b17b90
LibertAIDAI/GLM-5.3-Flash-NVFP4,aa28e1f54130286c95fee10d0705c74ce8743734,sglang,cross_node_tp2,0,glm53-nvfp4-tp2-mtp0-v1,MEASURED,true,131072,131073,4,17622.0,7.438,,,d624a68252542bd06e7422d204decac5fec25d33b7856e9630af82c152b17b90
LibertAIDAI/GLM-5.3-Flash-NVFP4,aa28e1f54130286c95fee10d0705c74ce8743734,sglang,single_node_tp1,0,glm53-nvfp4-tp1-ar-v1,MEASURED,true,8192,8194,59,26313.0,0.311,,,8b4802a6bd5ad97a9574d536b728dc7c9fb08d912665b6db57bbffa39bd11aa6
LibertAIDAI/GLM-5.3-Flash-NVFP4,aa28e1f54130286c95fee10d0705c74ce8743734,sglang,single_node_tp1,0,glm53-nvfp4-tp1-ar-v1,MEASURED,true,65536,65538,12,27782.0,2.359,,,8b4802a6bd5ad97a9574d536b728dc7c9fb08d912665b6db57bbffa39bd11aa6
LibertAIDAI/GLM-5.3-Flash-NVFP4,aa28e1f54130286c95fee10d0705c74ce8743734,sglang,single_node_tp1,0,glm53-nvfp4-tp1-ar-v1,MEASURED,true,131072,131073,7,28663.0,4.573,,,8b4802a6bd5ad97a9574d536b728dc7c9fb08d912665b6db57bbffa39bd11aa6
