run_id,profile,publication_status,model_id,model_revision,topology,mtp_tokens,nominal_context_tokens,actual_prompt_tokens,samples,prompt_tokens_per_second,server_prompt_tokens_per_second,median_ttft_seconds,server_cached_tokens,num_errors,source_artifact_sha256,result_file
glm53-flash-tp2-mtp0-20260826t1910z,TP2/MTP0,measured,zai-org/GLM-5.3-Flash,3f1971b7b5f7a528c9c4ef6212c8785298a8c24a,cross_node_tp2,0,8192,8194,10,12645,,0.648,,0,12f9d0f4fc4e3bfd6308411ddb02abccf9c4cb03ff2897378fb9cf098c007f17,data/diagnostic-prefill.csv
glm53-flash-tp2-mtp0-20260826t1910z,TP2/MTP0,measured,zai-org/GLM-5.3-Flash,3f1971b7b5f7a528c9c4ef6212c8785298a8c24a,cross_node_tp2,0,65536,65538,1,3721,,17.614,,0,12f9d0f4fc4e3bfd6308411ddb02abccf9c4cb03ff2897378fb9cf098c007f17,data/diagnostic-prefill.csv
glm53-flash-tp2-mtp0-20260826t1910z,TP2/MTP0,measured,zai-org/GLM-5.3-Flash,3f1971b7b5f7a528c9c4ef6212c8785298a8c24a,cross_node_tp2,0,131072,131073,1,6519,,20.106,,0,12f9d0f4fc4e3bfd6308411ddb02abccf9c4cb03ff2897378fb9cf098c007f17,data/diagnostic-prefill.csv
glm53-flash-tp2-mtp5-full-20260826-method-v10,TP2/MTP5,measured,zai-org/GLM-5.3-Flash,3f1971b7b5f7a528c9c4ef6212c8785298a8c24a,cross_node_tp2,5,8192,8192,4,14871,15559,0.551,0,0,8c1f90d017892c950f553600a3d889141a361a385a5657bc838c5c4344753e25,data/diagnostic-prefill.csv
glm53-flash-tp2-mtp5-full-20260826-method-v10,TP2/MTP5,measured,zai-org/GLM-5.3-Flash,3f1971b7b5f7a528c9c4ef6212c8785298a8c24a,cross_node_tp2,5,65536,65536,3,15438,15956,4.245,0,0,8c1f90d017892c950f553600a3d889141a361a385a5657bc838c5c4344753e25,data/diagnostic-prefill.csv
glm53-flash-tp2-mtp5-full-20260826-method-v10,TP2/MTP5,measured,zai-org/GLM-5.3-Flash,3f1971b7b5f7a528c9c4ef6212c8785298a8c24a,cross_node_tp2,5,131072,131072,3,15431,15919,8.494,0,0,8c1f90d017892c950f553600a3d889141a361a385a5657bc838c5c4344753e25,data/diagnostic-prefill.csv
glm53-flash-tep2-mtp5-full-20260826-method-v2,TEP2/MTP5,measured,zai-org/GLM-5.3-Flash,3f1971b7b5f7a528c9c4ef6212c8785298a8c24a,cross_node_tp2_ep2,5,8192,8192,4,14214,14847,0.576,0,0,8619a90dd4f441e1702ffaa9e2ff4c23bbc5b1f2d370ee7e5d6ed83d80c08ed4,data/diagnostic-prefill.csv
glm53-flash-tep2-mtp5-full-20260826-method-v2,TEP2/MTP5,measured,zai-org/GLM-5.3-Flash,3f1971b7b5f7a528c9c4ef6212c8785298a8c24a,cross_node_tp2_ep2,5,65536,65536,3,15076,15555,4.347,0,0,8619a90dd4f441e1702ffaa9e2ff4c23bbc5b1f2d370ee7e5d6ed83d80c08ed4,data/diagnostic-prefill.csv
glm53-flash-tep2-mtp5-full-20260826-method-v2,TEP2/MTP5,measured,zai-org/GLM-5.3-Flash,3f1971b7b5f7a528c9c4ef6212c8785298a8c24a,cross_node_tp2_ep2,5,131072,131072,3,14873,15329,8.813,0,0,8619a90dd4f441e1702ffaa9e2ff4c23bbc5b1f2d370ee7e5d6ed83d80c08ed4,data/diagnostic-prefill.csv
glm53-nvfp4-tp2-mtp0-v1,NVFP4 TP2/AR,measured,LibertAIDAI/GLM-5.3-Flash-NVFP4,aa28e1f54130286c95fee10d0705c74ce8743734,cross_node_tp2,0,8192,8194,30,15088.0,,0.543,,0,d624a68252542bd06e7422d204decac5fec25d33b7856e9630af82c152b17b90,data/diagnostic-prefill.csv
glm53-nvfp4-tp2-mtp0-v1,NVFP4 TP2/AR,measured,LibertAIDAI/GLM-5.3-Flash-NVFP4,aa28e1f54130286c95fee10d0705c74ce8743734,cross_node_tp2,0,65536,65538,8,17245.0,,3.8,,0,d624a68252542bd06e7422d204decac5fec25d33b7856e9630af82c152b17b90,data/diagnostic-prefill.csv
glm53-nvfp4-tp2-mtp0-v1,NVFP4 TP2/AR,measured,LibertAIDAI/GLM-5.3-Flash-NVFP4,aa28e1f54130286c95fee10d0705c74ce8743734,cross_node_tp2,0,131072,131073,4,17622.0,,7.438,,0,d624a68252542bd06e7422d204decac5fec25d33b7856e9630af82c152b17b90,data/diagnostic-prefill.csv
