topology,offered_concurrency,run_id,profile,aggregate_output_tokens_per_second,output_tokens_per_second_per_user
PP2,1,vpp2df-k4-fi-trt-p2-r31,vLLM PP2 42/36 DFlash2 K4,154.9179147377031,154.9179147377031
PP2,2,vpp2df-k5-fi-trt-p2-r30,vLLM PP2 42/36 DFlash2 K5,270.6048229739891,135.30241148699455
PP2,4,vpp2df-k5-fi-trt-p2-r30,vLLM PP2 42/36 DFlash2 K5,409.9076978364676,102.4769244591169
PP2,8,vpp2df-k7-fi-trt-ef25-p2-r29b,vLLM PP2 42/36 DFlash2 K7,553.8355856788203,69.22944820985254
PP2,16,vpp2df-k7-c64-p2-r32,vLLM PP2 42/36 DFlash2 K7,741.9938389998094,46.37461493748809
PP2,32,vpp2df-k7-c64-p2-r32,vLLM PP2 42/36 DFlash2 K7,1064.9785671015213,33.28058022192254
PP2,64,vpp2df-k7-c64-p2-r32,vLLM PP2 42/36 DFlash2 K7,1093.7931437564482,17.090517871194503
TP2+EP2,1,g53-b2-tep2-df2-low-bs32-r1,SGLang TP2+EP2 DFlash2 K7,165.5435007403018,165.5435007403018
TP2+EP2,16,g53-b2-tep2-df2-low-bs32-r1,SGLang TP2+EP2 DFlash2 K7,506.30543369609416,31.644089606005885
TP2+EP2,32,g53-b4-tep2-df2-low-bs32-schema5-r1,SGLang TP2+EP2 DFlash2 K7,569.9583888493028,17.811199651540712
TP2+EP2,64,g53-b4-tep2-df2-low-bs32-schema5-r1,SGLang TP2+EP2 DFlash2 K7,547.3260284581727,8.551969194658949
