run_id,profile,workload,publication_status,requested_concurrency,average_active_requests,maximum_active_requests,average_queue_requests,maximum_queue_requests,queue_fraction,capacity_limited,input_tokens,output_tokens,warmup_requests,measured_requests,measurement_seconds,aggregate_output_tokens_per_second,median_ttft_ms,median_tpot_ms,accepted_proposals_per_verify,accept_ratio,num_errors,source_artifact_sha256
g53-b2-tep2-df2-low-bs32-r1,TP2+EP2 · TRTLLM-MHA · FI 0.6.17,code_structured,measured,1,0.8,1,0.0,0,0.0,false,8192,1024,1,5,30.928427,165.5435007403018,992.437171000347,5.114967406647345,3.0093896713615025,0.42991281019450034,0,403b6bbf1370156a5b204388e5d9108c032c3f71b0e828a26b483e0e2f3f304b
g53-b2-tep2-df2-low-bs32-r1,TP2+EP2 · TRTLLM-MHA · FI 0.6.17,prose,measured,1,0.9,1,0.0,0,0.0,false,8192,1024,1,5,47.66199,107.42312802532011,1002.3022940004012,8.205781432062002,1.3931743805516597,0.19902491150737994,0,9848eb98a97e273d3ecbafef7b45f4cefe5c1b46373f1ebb2e6428a1c3283ebc
g53-b2-tep2-df2-low-bs32-r1,TP2+EP2 · TRTLLM-MHA · FI 0.6.17,code_structured,measured,16,13.0,16,1.6,14,0.219,true,8192,1024,16,32,64.719827,506.30543369609416,2964.9047210004937,25.805512399804712,2.8547420378422848,0.40782029112032636,0,5574ad3158aff49fd1e2670b40ec513ffa8c672571e0b8b2c4db6de38fd6f6bc
g53-b4-tep2-df2-low-bs32-schema5-r1,TP2+EP2 · TRTLLM-MHA · FI 0.6.17,code_structured,measured,32,26.1,29,4.2,30,0.933,true,8192,1024,32,160,287.459582,569.9583888493028,5818.160161000378,46.33160959970746,2.824761727215529,0.40353738960221847,0,b6e83b895771378abe02e54f2cb7010cf897e4929ecc31d5c5086939004855dc
g53-b4-tep2-df2-low-bs32-schema5-r1,TP2+EP2 · TRTLLM-MHA · FI 0.6.17,code_structured,measured,64,22.6,29,23.6,62,0.864,true,8192,1024,64,64,119.738504,547.3260284581727,52389.26067250031,41.30220872580624,2.834053738317757,0.4048648197596796,0,e4da91c3c295e88c67a53242e6c75608eb939a029e4cc4f713446fc71d29d61a
g53-b1-tp2-df2-low-bs32-r1,TP2+EP1 · TRTLLM-MHA · FI 0.6.17,code_structured,diagnostic,1,0.7,1,0.0,0,0.0,false,8192,1024,1,2,12.433731,164.7132297835785,990.143274,5.07402091,2.94049904,0.42007129,0,e6a975ed177394e28e6eec980bb8af247b2ffa5b61c1a8ce6cb082d419655a7e
g53-b1-tp2-df2-low-bs32-r1,TP2+EP1 · TRTLLM-MHA · FI 0.6.17,prose,diagnostic,1,0.9,1,0.0,0,0.0,false,8192,1024,1,2,19.768902,103.59705409242143,993.361404,8.640954333,1.2783964365,0.18262806,0,f1deb82c27747397a30346aec562ad6c61823fd24fc10db6079fe4db4d27bf5c
g53-b1-tp2-df2-low-bs32-r1,TP2+EP1 · TRTLLM-MHA · FI 0.6.17,code_structured,diagnostic,16,12.8,16,1.6,14,0.219,true,8192,1024,16,32,64.43547,508.5397805462058,2065.3020925,25.064363629,2.872965322,0.410423617,0,b3c7c07eec37000eef8355b7ec0ca93e672c589d1b0fefc8c2cc91107ebfcbf3
g53-b1-tp2-df2-low-bs32-r1,TP2+EP1 · TRTLLM-MHA · FI 0.6.17,code_structured,diagnostic,32,22.8,29,5.9,30,0.872,true,8192,1024,32,64,118.244792,554.2400541522159,7193.4824665,40.244155615,2.847953559,0.406850508,0,be512432b99309d9a288a42030853cd8e86d539ea9ff60d7592c5306aabf1b25
g53-b1-tp2-df2-low-bs32-r1,TP2+EP1 · TRTLLM-MHA · FI 0.6.17,code_structured,diagnostic,64,25.3,29,29.3,62,0.921,true,8192,1024,64,128,231.204106,566.9103470933102,60524.433752,45.752477974,2.837473697,0.405353385,0,f5bc11f37e9692bf65bc5b8ffd55f9661baca03a3707264dd0427a63c0283ccc
g53-s1-tep2-df2-fa4-fi0617-r1,TP2+EP2 · FA4 · FI 0.6.17,code_structured,diagnostic,1,0.7,1,0.0,0,0.0,false,8192,1024,1,2,16.463604,124.39560766940421,990.2630315,7.051884014,1.869747899,0.267106843,0,128419adb928ecf7f040f666579579eab1e6ea52364cd53e5294ea90949d31bb
g53-s1-tep2-df2-fa4-fi0617-r1,TP2+EP2 · FA4 · FI 0.6.17,prose,diagnostic,1,0.9,1,0.0,0,0.0,false,8192,1024,1,2,21.259118,96.33513276116167,981.391319,9.388357178,1.103696099,0.157670871,0,edea145795695b3cb033473126618329cf541dac1f6a022d7136bbf85f905cbc
g53-s1-tep2-df2-fa4-fi0617-r1,TP2+EP2 · FA4 · FI 0.6.17,code_structured,diagnostic,16,10.8,14,2.6,14,0.817,true,8192,1024,16,32,82.643857,396.49649846216425,4716.160859,27.339673602,1.97684134,0.282405906,0,bbda31853951e28817553c0f81243c7f097318a293317d5c5ed17362cf5fea23
g53-b3-tep2-df2-fi0618rc10-r1,TP2+EP2 · TRTLLM-MHA · FI 0.6.18rc10,code_structured,diagnostic,1,0.8,1,0.0,0,0.0,false,8192,1024,1,2,13.160835,155.613221595887,997.7382645,5.3433892058,,,0,619d62fff9bad22063494ecfb5fd6a0997e7f6ea48f8cdaf76ef77c64243710d
g53-v2-tep2-df2-cutlass-r1,vLLM TP2+EP2 · CUTLASS MoE · FI 0.6.17,code_structured,measured,1,1.0,1,0.0,0,0.0,false,8192,1024,1,5,116.856819,43.81430251737419,1106.0612660003244,21.724208718472756,0.2477444525725433,0.03539206465322047,0,401c4b625b3940e31baf7aa48264ef1fc483e502187c4c381d71ac469c60711b
