publication_status,topology,tensor_parallel_size,pipeline_parallel_size,expert_parallel,mtp_tokens,gpu_memory_utilization,flashinfer_autotune,context_tokens,actual_prompt_tokens,prompt_tokens_per_second,ttft_seconds,samples,num_errors,model_revision,runtime_image,benchmark_commit,result_file
provisional_tuning,pp2,1,2,false,0,0.92,false,8192,8194,24938.0,0.329,20,0,ecc1d8e194e093f33177f2f0ef7ce8f397b2d68b,vllm/vllm-openai@sha256:0a51ea5b4ae2dc5d81890e5173f54203d2a3ae0cfffe51b8fd2afd4391bfd967,0b4185b5b435e948b199c9077a00b084864aa963,data/evidence/pp2-mtp0-092-provisional-benchmark.json
provisional_tuning,pp2,1,2,false,0,0.92,false,65536,65538,18507.0,3.541,3,0,ecc1d8e194e093f33177f2f0ef7ce8f397b2d68b,vllm/vllm-openai@sha256:0a51ea5b4ae2dc5d81890e5173f54203d2a3ae0cfffe51b8fd2afd4391bfd967,0b4185b5b435e948b199c9077a00b084864aa963,data/evidence/pp2-mtp0-092-provisional-benchmark.json
provisional_tuning,pp2,1,2,false,0,0.92,false,131072,131074,14551.0,9.008,2,0,ecc1d8e194e093f33177f2f0ef7ce8f397b2d68b,vllm/vllm-openai@sha256:0a51ea5b4ae2dc5d81890e5173f54203d2a3ae0cfffe51b8fd2afd4391bfd967,0b4185b5b435e948b199c9077a00b084864aa963,data/evidence/pp2-mtp0-092-provisional-benchmark.json
accepted,pp2,1,2,false,0,0.956,false,8192,8194,25126.0,0.326,20,0,ecc1d8e194e093f33177f2f0ef7ce8f397b2d68b,vllm/vllm-openai@sha256:0a51ea5b4ae2dc5d81890e5173f54203d2a3ae0cfffe51b8fd2afd4391bfd967,0b4185b5b435e948b199c9077a00b084864aa963,data/evidence/pp2-mtp0-benchmark.json
accepted,pp2,1,2,false,0,0.956,false,65536,65538,18490.0,3.545,3,0,ecc1d8e194e093f33177f2f0ef7ce8f397b2d68b,vllm/vllm-openai@sha256:0a51ea5b4ae2dc5d81890e5173f54203d2a3ae0cfffe51b8fd2afd4391bfd967,0b4185b5b435e948b199c9077a00b084864aa963,data/evidence/pp2-mtp0-benchmark.json
accepted,pp2,1,2,false,0,0.956,false,131072,131074,14549.0,9.009,2,0,ecc1d8e194e093f33177f2f0ef7ce8f397b2d68b,vllm/vllm-openai@sha256:0a51ea5b4ae2dc5d81890e5173f54203d2a3ae0cfffe51b8fd2afd4391bfd967,0b4185b5b435e948b199c9077a00b084864aa963,data/evidence/pp2-mtp0-benchmark.json
accepted,tp2,2,1,true,0,0.956,true,8192,8194,12547.0,0.653,10,0,ecc1d8e194e093f33177f2f0ef7ce8f397b2d68b,vllm/vllm-openai@sha256:0a51ea5b4ae2dc5d81890e5173f54203d2a3ae0cfffe51b8fd2afd4391bfd967,0b4185b5b435e948b199c9077a00b084864aa963,data/evidence/tp2-mtp0-benchmark.json
accepted,tp2,2,1,true,0,0.956,true,65536,65538,11188.0,5.858,2,0,ecc1d8e194e093f33177f2f0ef7ce8f397b2d68b,vllm/vllm-openai@sha256:0a51ea5b4ae2dc5d81890e5173f54203d2a3ae0cfffe51b8fd2afd4391bfd967,0b4185b5b435e948b199c9077a00b084864aa963,data/evidence/tp2-mtp0-benchmark.json
accepted,tp2,2,1,true,0,0.956,true,131072,131074,9606.0,13.646,1,0,ecc1d8e194e093f33177f2f0ef7ce8f397b2d68b,vllm/vllm-openai@sha256:0a51ea5b4ae2dc5d81890e5173f54203d2a3ae0cfffe51b8fd2afd4391bfd967,0b4185b5b435e948b199c9077a00b084864aa963,data/evidence/tp2-mtp0-benchmark.json
accepted,tp2,2,1,true,1,0.956,true,8192,8194,12316.0,0.665,10,0,ecc1d8e194e093f33177f2f0ef7ce8f397b2d68b,hy3-vllm:0.27.1-mtp-compile,0b4185b5b435e948b199c9077a00b084864aa963,data/evidence/tp2-mtp1-benchmark.json
accepted,tp2,2,1,true,1,0.956,true,65536,65538,11126.0,5.891,2,0,ecc1d8e194e093f33177f2f0ef7ce8f397b2d68b,hy3-vllm:0.27.1-mtp-compile,0b4185b5b435e948b199c9077a00b084864aa963,data/evidence/tp2-mtp1-benchmark.json
accepted,tp2,2,1,true,1,0.956,true,131072,131074,9579.0,13.684,1,0,ecc1d8e194e093f33177f2f0ef7ce8f397b2d68b,hy3-vllm:0.27.1-mtp-compile,0b4185b5b435e948b199c9077a00b084864aa963,data/evidence/tp2-mtp1-benchmark.json
accepted,tp2,2,1,true,2,0.958,true,8192,8194,11836.0,0.692,10,0,ecc1d8e194e093f33177f2f0ef7ce8f397b2d68b,hy3-vllm:0.27.1-mtp-compile,0b4185b5b435e948b199c9077a00b084864aa963,data/evidence/tp2-mtp2-benchmark.json
accepted,tp2,2,1,true,2,0.958,true,65536,65538,10990.0,5.964,2,0,ecc1d8e194e093f33177f2f0ef7ce8f397b2d68b,hy3-vllm:0.27.1-mtp-compile,0b4185b5b435e948b199c9077a00b084864aa963,data/evidence/tp2-mtp2-benchmark.json
accepted,tp2,2,1,true,2,0.958,true,131072,131074,9470.0,13.841,1,0,ecc1d8e194e093f33177f2f0ef7ce8f397b2d68b,hy3-vllm:0.27.1-mtp-compile,0b4185b5b435e948b199c9077a00b084864aa963,data/evidence/tp2-mtp2-benchmark.json
