publication_status,topology,tensor_parallel_size,pipeline_parallel_size,expert_parallel,mtp_tokens,mtp_compile_fix,gpu_memory_utilization,flashinfer_autotune,concurrency,aggregate_output_tokens_per_second,request_count,completed_requests,num_errors,effective_concurrency,max_running_requests,capacity_limited,prompt_tokens,max_tokens,temperature,measurement_seconds,server_spec_draft_tokens,server_spec_accepted_tokens,speculative_acceptance_rate,headline_eligible,headline_exclusion_reason,model_revision,runtime_image,benchmark_commit,result_file
provisional_tuning,pp2,1,2,false,0,false,0.92,false,1,109.79839861597632,4,3,0,1,1,false,8192,1024,0.0,30.000438,0,0,,false,Provisional 0.92 tuning pass; final 0.956 run supersedes it.,ecc1d8e194e093f33177f2f0ef7ce8f397b2d68b,vllm/vllm-openai@sha256:0a51ea5b4ae2dc5d81890e5173f54203d2a3ae0cfffe51b8fd2afd4391bfd967,0b4185b5b435e948b199c9077a00b084864aa963,data/evidence/pp2-mtp0-092-provisional-benchmark.json
provisional_tuning,pp2,1,2,false,0,false,0.92,false,2,157.85063043186554,6,4,0,1.9,2,false,8192,1024,0.0,29.990378,0,0,,false,Provisional 0.92 tuning pass; final 0.956 run supersedes it.,ecc1d8e194e093f33177f2f0ef7ce8f397b2d68b,vllm/vllm-openai@sha256:0a51ea5b4ae2dc5d81890e5173f54203d2a3ae0cfffe51b8fd2afd4391bfd967,0b4185b5b435e948b199c9077a00b084864aa963,data/evidence/pp2-mtp0-092-provisional-benchmark.json
provisional_tuning,pp2,1,2,false,0,false,0.92,false,4,308.5981774756022,12,8,0,4.0,4,false,8192,1024,0.0,29.990456,0,0,,false,Provisional 0.92 tuning pass; final 0.956 run supersedes it.,ecc1d8e194e093f33177f2f0ef7ce8f397b2d68b,vllm/vllm-openai@sha256:0a51ea5b4ae2dc5d81890e5173f54203d2a3ae0cfffe51b8fd2afd4391bfd967,0b4185b5b435e948b199c9077a00b084864aa963,data/evidence/pp2-mtp0-092-provisional-benchmark.json
provisional_tuning,pp2,1,2,false,0,false,0.92,false,8,524.0647562467175,24,16,0,8,8,false,8192,1024,0.0,29.990569,0,0,,false,Provisional 0.92 tuning pass; final 0.956 run supersedes it.,ecc1d8e194e093f33177f2f0ef7ce8f397b2d68b,vllm/vllm-openai@sha256:0a51ea5b4ae2dc5d81890e5173f54203d2a3ae0cfffe51b8fd2afd4391bfd967,0b4185b5b435e948b199c9077a00b084864aa963,data/evidence/pp2-mtp0-092-provisional-benchmark.json
provisional_tuning,pp2,1,2,false,0,false,0.92,false,16,918.9147984676505,32,16,0,16,16,false,8192,1024,0.0,29.990811,0,0,,false,Provisional 0.92 tuning pass; final 0.956 run supersedes it.,ecc1d8e194e093f33177f2f0ef7ce8f397b2d68b,vllm/vllm-openai@sha256:0a51ea5b4ae2dc5d81890e5173f54203d2a3ae0cfffe51b8fd2afd4391bfd967,0b4185b5b435e948b199c9077a00b084864aa963,data/evidence/pp2-mtp0-092-provisional-benchmark.json
provisional_tuning,pp2,1,2,false,0,false,0.92,false,32,1372.925577484254,64,32,0,31.9,32,false,8192,1024,0.0,29.987787,0,0,,false,Provisional 0.92 tuning pass; final 0.956 run supersedes it.,ecc1d8e194e093f33177f2f0ef7ce8f397b2d68b,vllm/vllm-openai@sha256:0a51ea5b4ae2dc5d81890e5173f54203d2a3ae0cfffe51b8fd2afd4391bfd967,0b4185b5b435e948b199c9077a00b084864aa963,data/evidence/pp2-mtp0-092-provisional-benchmark.json
provisional_tuning,pp2,1,2,false,0,false,0.92,false,64,1975.1846371813788,128,64,0,63.6,64,false,8192,1024,0.0,29.977957,0,0,,false,Provisional 0.92 tuning pass; final 0.956 run supersedes it.,ecc1d8e194e093f33177f2f0ef7ce8f397b2d68b,vllm/vllm-openai@sha256:0a51ea5b4ae2dc5d81890e5173f54203d2a3ae0cfffe51b8fd2afd4391bfd967,0b4185b5b435e948b199c9077a00b084864aa963,data/evidence/pp2-mtp0-092-provisional-benchmark.json
accepted,pp2,1,2,false,0,false,0.956,false,1,109.26364787961369,4,3,0,1,1,false,8192,1024,0.0,30.000829,0,0,,true,,ecc1d8e194e093f33177f2f0ef7ce8f397b2d68b,vllm/vllm-openai@sha256:0a51ea5b4ae2dc5d81890e5173f54203d2a3ae0cfffe51b8fd2afd4391bfd967,0b4185b5b435e948b199c9077a00b084864aa963,data/evidence/pp2-mtp0-benchmark.json
accepted,pp2,1,2,false,0,false,0.956,false,2,158.16123189387133,6,4,0,1.9,2,false,8192,1024,0.0,29.994708,0,0,,true,,ecc1d8e194e093f33177f2f0ef7ce8f397b2d68b,vllm/vllm-openai@sha256:0a51ea5b4ae2dc5d81890e5173f54203d2a3ae0cfffe51b8fd2afd4391bfd967,0b4185b5b435e948b199c9077a00b084864aa963,data/evidence/pp2-mtp0-benchmark.json
accepted,pp2,1,2,false,0,false,0.956,false,4,308.25157864152305,12,8,0,4.0,4,false,8192,1024,0.0,29.998224,0,0,,true,,ecc1d8e194e093f33177f2f0ef7ce8f397b2d68b,vllm/vllm-openai@sha256:0a51ea5b4ae2dc5d81890e5173f54203d2a3ae0cfffe51b8fd2afd4391bfd967,0b4185b5b435e948b199c9077a00b084864aa963,data/evidence/pp2-mtp0-benchmark.json
