topology,stations,checkpoint,speculative_mode,thinking_mode,context_tokens,output_token_cap,concurrency,duration_seconds,aggregate_output_tokens_per_second,per_stream_output_tokens_per_second,effective_concurrency,completed_requests,errors,underfilled,capacity_limited,selection_note,source
1x-gb300,1,nvidia/MiniMax-M3-NVFP4@901464083161bf8612a29ff7ad29914cd4ab4a85,none,disabled,8192,1024,1,30,152.590782,152.590782,1,5,0,false,false,canonical 30-second matrix,evidence/nvfp4-disabled-llm-inference-bench.json
1x-gb300,1,nvidia/MiniMax-M3-NVFP4@901464083161bf8612a29ff7ad29914cd4ab4a85,none,disabled,8192,1024,2,30,257.323641,128.661820,2,8,0,false,false,selected clean rerun after canonical boundary-underfill flag,evidence/nvfp4-disabled-c2-selected-rerun.json
1x-gb300,1,nvidia/MiniMax-M3-NVFP4@901464083161bf8612a29ff7ad29914cd4ab4a85,none,disabled,8192,1024,4,30,505.432429,126.358107,4,16,0,false,false,canonical 30-second matrix,evidence/nvfp4-disabled-llm-inference-bench.json
1x-gb300,1,nvidia/MiniMax-M3-NVFP4@901464083161bf8612a29ff7ad29914cd4ab4a85,none,disabled,8192,1024,8,30,959.717537,119.964692,8,32,0,false,false,canonical 30-second matrix,evidence/nvfp4-disabled-llm-inference-bench.json
1x-gb300,1,nvidia/MiniMax-M3-NVFP4@901464083161bf8612a29ff7ad29914cd4ab4a85,none,disabled,8192,1024,16,30,1575.363686,98.460230,15.5,48,0,true,false,canonical 30-second matrix,evidence/nvfp4-disabled-llm-inference-bench.json
1x-gb300,1,nvidia/MiniMax-M3-NVFP4@901464083161bf8612a29ff7ad29914cd4ab4a85,none,disabled,8192,1024,32,,,,,0,0,,true,skipped: requested KV exceeds 156160-token measured budget,evidence/nvfp4-disabled-llm-inference-bench.json
1x-gb300,1,nvidia/MiniMax-M3-NVFP4@901464083161bf8612a29ff7ad29914cd4ab4a85,none,disabled,8192,1024,64,,,,,0,0,,true,skipped: requested KV exceeds 156160-token measured budget,evidence/nvfp4-disabled-llm-inference-bench.json
1x-gb300,1,nvidia/MiniMax-M3-NVFP4@901464083161bf8612a29ff7ad29914cd4ab4a85,none,disabled,8192,1024,128,,,,,0,0,,true,skipped: requested KV exceeds 156160-token measured budget,evidence/nvfp4-disabled-llm-inference-bench.json
1x-gb300,1,nvidia/MiniMax-M3-NVFP4@901464083161bf8612a29ff7ad29914cd4ab4a85,none,adaptive,8192,1024,1,30,152.404620,152.404620,1,5,0,false,false,canonical 30-second matrix,evidence/nvfp4-adaptive-llm-inference-bench.json
1x-gb300,1,nvidia/MiniMax-M3-NVFP4@901464083161bf8612a29ff7ad29914cd4ab4a85,none,adaptive,8192,1024,2,30,245.339390,122.669695,1.9,8,0,true,false,canonical 30-second matrix,evidence/nvfp4-adaptive-llm-inference-bench.json
1x-gb300,1,nvidia/MiniMax-M3-NVFP4@901464083161bf8612a29ff7ad29914cd4ab4a85,none,adaptive,8192,1024,4,30,503.103777,125.775944,4,16,0,false,false,canonical 30-second matrix,evidence/nvfp4-adaptive-llm-inference-bench.json
1x-gb300,1,nvidia/MiniMax-M3-NVFP4@901464083161bf8612a29ff7ad29914cd4ab4a85,none,adaptive,8192,1024,8,60,937.076427,117.134553,8,56,0,false,false,selected clean rerun after canonical boundary-underfill flag,evidence/nvfp4-adaptive-c8-selected-rerun.json
1x-gb300,1,nvidia/MiniMax-M3-NVFP4@901464083161bf8612a29ff7ad29914cd4ab4a85,none,adaptive,8192,1024,16,30,1595.817085,99.738568,15.5,48,0,true,false,canonical 30-second matrix,evidence/nvfp4-adaptive-llm-inference-bench.json
1x-gb300,1,nvidia/MiniMax-M3-NVFP4@901464083161bf8612a29ff7ad29914cd4ab4a85,none,adaptive,8192,1024,32,,,,,0,0,,true,skipped: requested KV exceeds 156160-token measured budget,evidence/nvfp4-adaptive-llm-inference-bench.json
1x-gb300,1,nvidia/MiniMax-M3-NVFP4@901464083161bf8612a29ff7ad29914cd4ab4a85,none,adaptive,8192,1024,64,,,,,0,0,,true,skipped: requested KV exceeds 156160-token measured budget,evidence/nvfp4-adaptive-llm-inference-bench.json
1x-gb300,1,nvidia/MiniMax-M3-NVFP4@901464083161bf8612a29ff7ad29914cd4ab4a85,none,adaptive,8192,1024,128,,,,,0,0,,true,skipped: requested KV exceeds 156160-token measured budget,evidence/nvfp4-adaptive-llm-inference-bench.json
1x-gb300,1,nvidia/MiniMax-M3-NVFP4@901464083161bf8612a29ff7ad29914cd4ab4a85,none,enabled,8192,1024,1,30,152.593191,152.593191,1,5,0,false,false,canonical 30-second matrix,evidence/nvfp4-enabled-llm-inference-bench.json
