configuration,context_tokens,prompt_tokens,tok_per_sec,ttft_seconds,samples
Qwen official 2K/FP8,8192,8194,11401.0,0.719,5
Qwen official 2K/FP8,32768,32770,12332.0,2.657,3
Qwen official 2K/FP8,65536,65538,12193.0,5.375,2
Qwen official 2K/FP8,131072,131074,11638.0,11.263,2
Qwen 8K/BF16,8192,8194,18212.0,0.45,6
Qwen 8K/BF16,32768,32770,20393.0,1.607,4
Qwen 8K/BF16,65536,65538,19439.0,3.372,3
Qwen 8K/BF16,131072,131074,17022.0,7.7,2
Qwen 8K/FP8,8192,8194,18333.0,0.447,6
Qwen 8K/FP8,32768,32770,21196.0,1.546,4
Qwen 8K/FP8,65536,65538,20837.0,3.145,3
Qwen 8K/FP8,131072,131074,19356.0,6.772,2
Qwen 16K/FP8 eager,8192,8194,22595.0,0.363,6
Qwen 16K/FP8 eager,32768,32770,21924.0,1.495,4
Qwen 16K/FP8 eager,65536,65538,21504.0,3.048,3
Qwen 16K/FP8 eager,131072,131074,19853.0,6.602,2
Qwen 32K/FP8 eager,8192,8194,22577.0,0.363,6
Qwen 32K/FP8 eager,32768,32770,21537.0,1.522,4
Qwen 32K/FP8 eager,65536,65538,21268.0,3.082,3
Qwen 32K/FP8 eager,131072,131074,19714.0,6.649,2
Huginn FP8 vLLM/BF16 KV,8192,8194,27220.0,0.301,6
Huginn FP8 vLLM/BF16 KV,32768,32770,25093.0,1.306,5
Huginn FP8 vLLM/BF16 KV,65536,65538,23042.0,2.844,3
Huginn FP8 vLLM/BF16 KV,131072,131074,19234.0,6.815,2
Huginn NVFP4A16 vLLM/BF16 KV,8192,8194,8897.0,0.921,5
Huginn NVFP4A16 vLLM/BF16 KV,32768,32770,8891.0,3.686,3
Huginn NVFP4A16 vLLM/BF16 KV,65536,65538,8608.0,7.614,2
Huginn NVFP4A16 vLLM/BF16 KV,131072,131074,7939.0,16.509,1
