mode,thinking,concurrency,aggregate_tps,completed_requests,request_count,errors,capacity_limited_flag,effective_concurrency,max_running_reqs,ttft_p50_ms,itl_p50_ms,latency_p50_ms,user_tps_p50,accept_length,accept_rate,engine_steps_per_second,context_tokens,max_tokens,temperature,ignore_eos,reasoning_effort,disable_thinking
autoregressive,low,1,93.41966706342323,5,5,0,False,1.0,1,146.18622499983758,10.560651955033379,10949.603035998734,94.6911236406559,0.0,0.0,0.0,8192,1024,0.0,True,low,False
autoregressive,low,2,177.18489739312759,10,10,0,False,1.9,2,238.71667250023165,11.032468568914128,11524.691046999578,90.64154559757742,0.0,0.0,0.0,8192,1024,0.0,True,low,False
autoregressive,low,4,347.3461706571555,20,20,0,False,3.9,4,290.073250000205,11.21787795112382,11766.127753999172,89.14341949864368,0.0,0.0,0.0,8192,1024,0.0,True,low,False
autoregressive,low,8,671.1846525565378,40,40,0,False,7.4,8,346.1610365011438,11.5745949995112,12187.61948899919,86.39611149278707,0.0,0.0,0.0,8192,1024,0.0,True,low,False
autoregressive,low,16,1232.788239636201,80,80,0,False,15.5,16,585.7442850010557,12.416157493645272,13284.33731649966,80.54021555164657,0.0,0.0,0.0,8192,1024,0.0,True,low,False
autoregressive,low,32,2168.7766514373798,160,160,0,False,31.0,32,1101.6051619990321,13.665407188172276,15085.133194501395,73.17747552235973,0.0,0.0,0.0,8192,1024,0.0,True,low,False
autoregressive,low,64,3463.142621725543,320,320,0,False,63.5,64,2139.7680595000566,16.36132667888759,18912.663473000066,61.11973800335488,0.0,0.0,0.0,8192,1024,0.0,True,low,False
autoregressive,medium,1,93.45370728097211,5,5,0,False,1.0,1,149.80846600155928,10.560262707723489,10952.957216002687,94.6946139198438,0.0,0.0,0.0,8192,1024,0.0,True,medium,False
autoregressive,medium,2,177.07525103158497,10,10,0,False,1.9,2,242.22902200017415,11.03406032991245,11529.3778844989,90.62846950585903,0.0,0.0,0.0,8192,1024,0.0,True,medium,False
autoregressive,medium,4,347.1525738659982,20,20,0,False,3.9,4,294.4632625003578,11.217603706744715,11770.580839500326,89.14559884222513,0.0,0.0,0.0,8192,1024,0.0,True,medium,False
autoregressive,medium,8,671.0474094178948,40,40,0,False,7.4,8,348.45323100125825,11.573323477516643,12188.58399200144,86.40560353955655,0.0,0.0,0.0,8192,1024,0.0,True,medium,False
autoregressive,medium,16,1231.3513223961004,80,80,0,False,15.5,16,597.0833270002913,12.415779451123411,13297.95915449904,80.5426678275012,0.0,0.0,0.0,8192,1024,0.0,True,medium,False
autoregressive,medium,32,2166.0546417051237,160,160,0,False,31.0,32,1118.4639855000569,13.681718991203333,15114.155978501003,73.09023091314498,0.0,0.0,0.0,8192,1024,0.0,True,medium,False
autoregressive,medium,64,3465.382959540601,320,320,0,False,63.5,64,2134.7716540003603,16.36958396872098,18880.272977999994,61.088907446841915,0.0,0.0,0.0,8192,1024,0.0,True,medium,False
autoregressive,none,1,93.31894502105484,5,5,0,False,1.0,1,147.6705419991049,10.557789674485026,10947.633821000636,94.71679497619625,0.0,0.0,0.0,8192,1024,0.0,True,,True
autoregressive,none,2,176.94205472911213,10,10,0,False,1.9,2,239.3162954995205,11.031341564025622,11523.990624498765,90.650805776743,0.0,0.0,0.0,8192,1024,0.0,True,,True
autoregressive,none,4,347.73879081245155,20,20,0,False,3.8,4,290.07288650063856,11.211402446724117,11759.312829501141,89.19490712751087,0.0,0.0,0.0,8192,1024,0.0,True,,True
autoregressive,none,8,671.5450810088721,40,40,0,False,7.4,8,340.8004089997121,11.569198202344499,12177.655369499917,86.43641352768051,0.0,0.0,0.0,8192,1024,0.0,True,,True
autoregressive,none,16,1228.3748468439505,80,80,0,False,15.2,16,583.5717059999297,12.413144359238121,13278.59894300127,80.55976569250373,0.0,0.0,0.0,8192,1024,0.0,True,,True
autoregressive,none,32,2168.9246631200263,160,160,0,False,31.4,32,1099.43796799962,13.68192612218852,15101.935278500605,73.0891243855371,0.0,0.0,0.0,8192,1024,0.0,True,,True
autoregressive,none,64,3466.166995358039,320,320,0,False,63.5,64,2139.0509814991674,16.34727219648053,18860.855512000853,61.17228538076195,0.0,0.0,0.0,8192,1024,0.0,True,,True
autoregressive,xhigh,1,93.00311961457871,5,5,0,False,0.9,1,151.10042500236887,10.559141265884238,10953.0096410017,94.7046710352216,0.0,0.0,0.0,8192,1024,0.0,True,xhigh,False
autoregressive,xhigh,2,177.07224449276842,10,10,0,False,1.9,2,245.0270890003594,11.034509612903593,11533.323593499517,90.6247794505729,0.0,0.0,0.0,8192,1024,0.0,True,xhigh,False
autoregressive,xhigh,4,347.05655420907453,20,20,0,False,3.8,4,296.6436605001945,11.216679821601696,11771.108482000272,89.15294150444683,0.0,0.0,0.0,8192,1024,0.0,True,xhigh,False
autoregressive,xhigh,8,670.5835094076759,40,40,0,False,7.4,8,351.11637900081405,11.571333462853135,12189.974119999533,86.42046349653367,0.0,0.0,0.0,8192,1024,0.0,True,xhigh,False
autoregressive,xhigh,16,1231.4530277548727,80,80,0,False,15.5,16,582.3188760023186,12.428598600193185,13297.547276000842,80.45959421328337,0.0,0.0,0.0,8192,1024,0.0,True,xhigh,False
autoregressive,xhigh,32,2176.0812586806624,160,160,0,False,31.0,32,1098.543480002263,13.606739031280853,15021.488671500265,73.49299473869675,0.0,0.0,0.0,8192,1024,0.0,True,xhigh,False
autoregressive,xhigh,64,3461.869079726801,320,320,0,False,62.7,64,2154.3019954988267,16.29972469599287,18831.990933498673,61.35072945425715,0.0,0.0,0.0,8192,1024,0.0,True,xhigh,False
dflash1-community,low,1,123.80605190668885,5,5,0,False,0.9,1,154.0963540028315,7.895784679374697,8231.778021003265,126.64985693090033,1.575,0.19166666666666668,78.60701708361196,8192,1024,0.0,True,low,False
dflash1-community,low,2,241.78373997036852,10,10,0,False,1.9,2,210.72349950190983,8.005704469207615,8377.36463299916,124.91093126775752,1.6625,0.22083333333333333,145.4338285536051,8192,1024,0.0,True,low,False
dflash1-community,low,4,441.1699908437808,20,20,0,False,3.8,4,172.2114629992575,8.860454932550363,9229.270842499318,112.86102220832544,1.5625,0.1875,282.3487941400197,8192,1024,0.0,True,low,False
dflash1-community,low,8,816.1578693666413,40,40,0,False,7.5,8,303.3087024996348,9.443511307917953,10036.051954000868,105.89340996407094,1.5615141955835963,0.1871713985278654,522.6707971499501,8192,1024,0.0,True,low,False
dflash1-community,low,16,1427.8737047488908,80,80,0,False,15.2,16,317.5473965002311,10.752250170089868,11346.954882499631,93.0038360115719,1.6877133105802047,0.22923777019340158,846.0404357763904,8192,1024,0.0,True,low,False
dflash1-community,low,32,2212.31337984729,160,160,0,False,31.1,35,429.9368809988664,13.813982462365773,14627.943771500213,72.39042055573748,1.5,0.16666666666666666,1474.87558656486,8192,1024,0.0,True,low,False
dflash1-community,low,64,2953.8868221664998,320,320,0,True,56.3,62,1242.4923690014111,18.24343029276624,19940.82072600031,54.814253643686186,1.6660714285714286,0.2220238095238095,1772.9652951910393,8192,1024,0.0,True,low,False
dflash1-community,medium,1,129.49213452196517,5,5,0,False,0.9,1,154.87390300040715,7.560953861193784,7889.729703001649,132.25844494732996,2.225,0.4083333333333333,58.19871214470344,8192,1024,0.0,True,medium,False
dflash1-community,medium,2,244.6227105405391,10,10,0,False,1.9,2,166.65007699884882,7.951218415444901,8305.895425000926,125.77068728429371,1.5806451612903225,0.1935483870967742,154.76130666850432,8192,1024,0.0,True,medium,False
dflash1-community,medium,4,455.82669043850035,20,20,0,False,3.8,4,223.53907050091948,8.305657746334225,8722.21602100035,120.39995399774013,1.34,0.11333333333333333,340.1691719690301,8192,1024,0.0,True,medium,False
dflash1-community,medium,8,839.9176718177257,40,40,0,False,7.5,8,238.73793450002267,9.049497589932598,9535.489813501044,110.5037458958266,1.74375,0.24791666666666667,481.6732168130327,8192,1024,0.0,True,medium,False
dflash1-community,medium,16,1466.2123800667405,80,80,0,False,15.4,16,474.6358609991148,10.393759139295929,11010.68028500049,96.2117671990105,1.884375,0.2947916666666667,778.0894885926318,8192,1024,0.0,True,medium,False
dflash1-community,medium,32,2295.2163044946888,160,160,0,False,31.2,34,602.6991439994163,13.210001726295499,14354.794675498852,75.70021871502126,1.7264631043256997,0.24215436810856658,1329.432583148729,8192,1024,0.0,True,medium,False
dflash1-community,medium,64,3042.9015851615477,320,320,0,True,56.1,62,1480.8059500010131,17.43807023558119,19319.397429000674,57.345794946942405,1.4559471365638768,0.15198237885462554,2089.9808164347087,8192,1024,0.0,True,medium,False
dflash1-community,none,1,118.61583737927278,5,5,0,False,1.0,1,154.19858600216685,8.281577578689168,8626.828969001508,120.74994051535323,1.7,0.23333333333333334,69.77402198780752,8192,1024,0.0,True,,True
dflash1-community,none,2,242.8467968281087,10,10,0,False,1.9,2,167.349044500952,7.923013434506979,8271.670611500667,126.24270186237192,1.554054054054054,0.18468468468468469,156.26663448069604,8192,1024,0.0,True,,True
dflash1-community,none,4,449.8951828447475,20,20,0,False,3.8,4,223.84656550093496,8.52856969990098,8948.573368499638,117.25346179863361,1.56875,0.18958333333333333,286.78577392493867,8192,1024,0.0,True,,True
dflash1-community,none,8,799.6615570994544,40,40,0,False,7.5,8,224.99324199998227,9.553218274681981,9998.73603100059,104.67676796308479,1.6027397260273972,0.2009132420091324,498.93413391675364,8192,1024,0.0,True,,True
