source_id,publication_status,model_id,model_revision,runtime,profile,topology,mtp_tokens,nominal_concurrency,aggregate_output_tokens_per_second,successful_answer_throughput,diagnostic_reason
foureyes-20260827-qwen-handoff,DIAGNOSTIC_EXCLUDED,Qwen/Qwen3.8-Flash-Next-FP8,bcd9f01ddc9cff2316eb84281bebcd5b058bddce,vLLM,fp8_tp4_ar,TP4,0,1,114.767102,false,"All outputs hit 1024-token limit with empty final-answer content"
foureyes-20260827-qwen-handoff,DIAGNOSTIC_EXCLUDED,Qwen/Qwen3.8-Flash-Next-FP8,bcd9f01ddc9cff2316eb84281bebcd5b058bddce,vLLM,fp8_tp4_ar,TP4,0,64,1776.175162,false,"All outputs hit 1024-token limit with empty final-answer content"
foureyes-20260827-qwen-handoff,DIAGNOSTIC_EXCLUDED,Qwen/Qwen3.8-Flash-Next-FP8,bcd9f01ddc9cff2316eb84281bebcd5b058bddce,vLLM,fp8_tp4_ar,TP4,0,128,2051.695941,false,"All outputs hit 1024-token limit with empty final-answer content; HTTP client capped at 100 connections"
foureyes-20260827-qwen-handoff,DIAGNOSTIC_EXCLUDED,Qwen/Qwen3.8-Flash-Next-FP8,bcd9f01ddc9cff2316eb84281bebcd5b058bddce,vLLM,fp8_tp4_mtp3,TP4,3,1,178.267809,false,"All outputs hit 1024-token limit with empty final-answer content"
foureyes-20260827-qwen-handoff,DIAGNOSTIC_EXCLUDED,Qwen/Qwen3.8-Flash-Next-FP8,bcd9f01ddc9cff2316eb84281bebcd5b058bddce,vLLM,fp8_tp4_mtp3,TP4,3,64,1748.456243,false,"All outputs hit 1024-token limit with empty final-answer content"
foureyes-20260827-qwen-handoff,DIAGNOSTIC_EXCLUDED,Qwen/Qwen3.8-Flash-Next-FP8,bcd9f01ddc9cff2316eb84281bebcd5b058bddce,vLLM,fp8_tp4_mtp3,TP4,3,128,1993.170324,false,"All outputs hit 1024-token limit with empty final-answer content; HTTP client capped at 100 connections"
foureyes-20260827-qwen-handoff,DIAGNOSTIC_EXCLUDED,Qwen/Qwen3.8-Flash-Next-FP8,bcd9f01ddc9cff2316eb84281bebcd5b058bddce,vLLM,fp8_tep4_ar,TEP4,0,1,113.972249,false,"All outputs hit 1024-token limit with empty final-answer content"
foureyes-20260827-qwen-handoff,DIAGNOSTIC_EXCLUDED,Qwen/Qwen3.8-Flash-Next-FP8,bcd9f01ddc9cff2316eb84281bebcd5b058bddce,vLLM,fp8_tep4_ar,TEP4,0,64,2496.529698,false,"All outputs hit 1024-token limit with empty final-answer content"
foureyes-20260827-qwen-handoff,DIAGNOSTIC_EXCLUDED,Qwen/Qwen3.8-Flash-Next-FP8,bcd9f01ddc9cff2316eb84281bebcd5b058bddce,vLLM,fp8_tep4_ar,TEP4,0,128,2912.023444,false,"All outputs hit 1024-token limit with empty final-answer content; HTTP client capped at 100 connections"
foureyes-20260827-qwen-handoff,DIAGNOSTIC_EXCLUDED,Qwen/Qwen3.8-Flash-Next-FP8,bcd9f01ddc9cff2316eb84281bebcd5b058bddce,vLLM,fp8_tep4_mtp3,TEP4,3,1,176.631920,false,"All outputs hit 1024-token limit with empty final-answer content"
foureyes-20260827-qwen-handoff,DIAGNOSTIC_EXCLUDED,Qwen/Qwen3.8-Flash-Next-FP8,bcd9f01ddc9cff2316eb84281bebcd5b058bddce,vLLM,fp8_tep4_mtp3,TEP4,3,64,2313.806572,false,"All outputs hit 1024-token limit with empty final-answer content"
foureyes-20260827-qwen-handoff,DIAGNOSTIC_EXCLUDED,Qwen/Qwen3.8-Flash-Next-FP8,bcd9f01ddc9cff2316eb84281bebcd5b058bddce,vLLM,fp8_tep4_mtp3,TEP4,3,128,2552.869674,false,"All outputs hit 1024-token limit with empty final-answer content; HTTP client capped at 100 connections"
