source_id,source_kind,publication_status,rank_class,model_id,model_revision,runtime,profile,topology,mtp_tokens,input_tokens,target_output_tokens,concurrency,target_requests,completed_requests,duration_seconds,aggregate_output_tokens_per_second,median_ttft_ms,median_itl_ms,mean_effective_concurrency,queueing_observed,queueing_fraction,num_errors,expected_raw_artifact
foureyes-20260827-qwen-handoff,external_user_handoff,SEALED_PRIMARY_EXTERNAL,primary,Qwen/Qwen3.8-Flash-Next-FP8,bcd9f01ddc9cff2316eb84281bebcd5b058bddce,vLLM,fp8_tp4_ar,TP4,0,8192,1024,1,5,5,44.120125,116.046816,72.302,8.531,1.0,false,,0,data/raw/tp4/ar/fixed/c1.json
foureyes-20260827-qwen-handoff,external_user_handoff,SEALED_PRIMARY_EXTERNAL,primary,Qwen/Qwen3.8-Flash-Next-FP8,bcd9f01ddc9cff2316eb84281bebcd5b058bddce,vLLM,fp8_tp4_ar,TP4,0,8192,1024,2,10,10,51.238930,199.848046,100.807,9.919,2.0,false,,0,data/raw/tp4/ar/fixed/c2.json
foureyes-20260827-qwen-handoff,external_user_handoff,SEALED_PRIMARY_EXTERNAL,primary,Qwen/Qwen3.8-Flash-Next-FP8,bcd9f01ddc9cff2316eb84281bebcd5b058bddce,vLLM,fp8_tp4_ar,TP4,0,8192,1024,4,20,20,59.070414,346.704865,157.583,11.367,4.0,false,,0,data/raw/tp4/ar/fixed/c4.json
foureyes-20260827-qwen-handoff,external_user_handoff,SEALED_PRIMARY_EXTERNAL,primary,Qwen/Qwen3.8-Flash-Next-FP8,bcd9f01ddc9cff2316eb84281bebcd5b058bddce,vLLM,fp8_tp4_ar,TP4,0,8192,1024,8,40,40,74.515140,549.686949,211.512,14.353,8.0,false,,0,data/raw/tp4/ar/fixed/c8.json
foureyes-20260827-qwen-handoff,external_user_handoff,SEALED_PRIMARY_EXTERNAL,primary,Qwen/Qwen3.8-Flash-Next-FP8,bcd9f01ddc9cff2316eb84281bebcd5b058bddce,vLLM,fp8_tp4_ar,TP4,0,8192,1024,16,80,80,95.565516,857.212974,321.008,18.406,15.9,false,,0,data/raw/tp4/ar/fixed/c16.json
foureyes-20260827-qwen-handoff,external_user_handoff,SEALED_PRIMARY_EXTERNAL,primary,Qwen/Qwen3.8-Flash-Next-FP8,bcd9f01ddc9cff2316eb84281bebcd5b058bddce,vLLM,fp8_tp4_ar,TP4,0,8192,1024,32,160,160,127.812762,1281.875122,390.201,24.502,31.3,false,,0,data/raw/tp4/ar/fixed/c32.json
foureyes-20260827-qwen-handoff,external_user_handoff,SEALED_PRIMARY_EXTERNAL,primary,Qwen/Qwen3.8-Flash-Next-FP8,bcd9f01ddc9cff2316eb84281bebcd5b058bddce,vLLM,fp8_tp4_ar,TP4,0,8192,1024,64,320,320,173.455530,1889.129734,706.602,33.205,63.0,false,,0,data/raw/tp4/ar/fixed/c64.json
foureyes-20260827-qwen-handoff,external_user_handoff,SEALED_PRIMARY_EXTERNAL,primary,Qwen/Qwen3.8-Flash-Next-FP8,bcd9f01ddc9cff2316eb84281bebcd5b058bddce,vLLM,fp8_tp4_ar,TP4,0,8192,1024,128,640,640,249.712079,2624.462557,1242.239,47.610,125.7,true,,0,data/raw/tp4/ar/fixed/c128.json
foureyes-20260827-qwen-handoff,external_user_handoff,SEALED_PRIMARY_EXTERNAL,primary,Qwen/Qwen3.8-Flash-Next-FP8,bcd9f01ddc9cff2316eb84281bebcd5b058bddce,vLLM,fp8_tp4_mtp3,TP4,3,8192,1024,1,5,5,26.508543,193.145281,150.200,4.971,1.0,false,,0,data/raw/tp4/mtp3/fixed/c1.json
foureyes-20260827-qwen-handoff,external_user_handoff,SEALED_PRIMARY_EXTERNAL,primary,Qwen/Qwen3.8-Flash-Next-FP8,bcd9f01ddc9cff2316eb84281bebcd5b058bddce,vLLM,fp8_tp4_mtp3,TP4,3,8192,1024,2,10,10,33.598271,304.777587,181.501,6.214,1.9,false,,0,data/raw/tp4/mtp3/fixed/c2.json
foureyes-20260827-qwen-handoff,external_user_handoff,SEALED_PRIMARY_EXTERNAL,primary,Qwen/Qwen3.8-Flash-Next-FP8,bcd9f01ddc9cff2316eb84281bebcd5b058bddce,vLLM,fp8_tp4_mtp3,TP4,3,8192,1024,4,20,20,42.957662,476.748479,195.408,7.932,3.9,false,,0,data/raw/tp4/mtp3/fixed/c4.json
foureyes-20260827-qwen-handoff,external_user_handoff,SEALED_PRIMARY_EXTERNAL,primary,Qwen/Qwen3.8-Flash-Next-FP8,bcd9f01ddc9cff2316eb84281bebcd5b058bddce,vLLM,fp8_tp4_mtp3,TP4,3,8192,1024,8,40,40,58.393741,701.445037,221.022,10.990,7.8,false,,0,data/raw/tp4/mtp3/fixed/c8.json
foureyes-20260827-qwen-handoff,external_user_handoff,SEALED_PRIMARY_EXTERNAL,primary,Qwen/Qwen3.8-Flash-Next-FP8,bcd9f01ddc9cff2316eb84281bebcd5b058bddce,vLLM,fp8_tp4_mtp3,TP4,3,8192,1024,16,80,80,81.203790,1008.819909,269.748,15.304,15.5,true,,0,data/raw/tp4/mtp3/fixed/c16.json
foureyes-20260827-qwen-handoff,external_user_handoff,SEALED_PRIMARY_EXTERNAL,primary,Qwen/Qwen3.8-Flash-Next-FP8,bcd9f01ddc9cff2316eb84281bebcd5b058bddce,vLLM,fp8_tp4_mtp3,TP4,3,8192,1024,32,160,160,120.996978,1354.083405,439.725,22.674,30.8,true,,0,data/raw/tp4/mtp3/fixed/c32.json
foureyes-20260827-qwen-handoff,external_user_handoff,SEALED_PRIMARY_EXTERNAL,primary,Qwen/Qwen3.8-Flash-Next-FP8,bcd9f01ddc9cff2316eb84281bebcd5b058bddce,vLLM,fp8_tp4_mtp3,TP4,3,8192,1024,64,320,320,171.948841,1905.683101,651.911,32.461,61.5,true,,0,data/raw/tp4/mtp3/fixed/c64.json
foureyes-20260827-qwen-handoff,external_user_handoff,SEALED_PRIMARY_EXTERNAL,primary,Qwen/Qwen3.8-Flash-Next-FP8,bcd9f01ddc9cff2316eb84281bebcd5b058bddce,vLLM,fp8_tp4_mtp3,TP4,3,8192,1024,128,640,640,269.285495,2433.699598,1186.104,50.322,122.3,true,,0,data/raw/tp4/mtp3/fixed/c128.json
foureyes-20260827-qwen-handoff,external_user_handoff,SEALED_PRIMARY_EXTERNAL,primary,Qwen/Qwen3.8-Flash-Next-FP8,bcd9f01ddc9cff2316eb84281bebcd5b058bddce,vLLM,fp8_tep4_ar,TEP4,0,8192,1024,1,5,5,44.646209,114.679389,56.504,8.628,1.0,false,,0,data/raw/tep4/ar/fixed/c1.json
foureyes-20260827-qwen-handoff,external_user_handoff,SEALED_PRIMARY_EXTERNAL,primary,Qwen/Qwen3.8-Flash-Next-FP8,bcd9f01ddc9cff2316eb84281bebcd5b058bddce,vLLM,fp8_tep4_ar,TEP4,0,8192,1024,2,10,10,51.253404,199.791610,76.337,9.926,2.0,false,,0,data/raw/tep4/ar/fixed/c2.json
foureyes-20260827-qwen-handoff,external_user_handoff,SEALED_PRIMARY_EXTERNAL,primary,Qwen/Qwen3.8-Flash-Next-FP8,bcd9f01ddc9cff2316eb84281bebcd5b058bddce,vLLM,fp8_tep4_ar,TEP4,0,8192,1024,4,20,20,56.298025,363.778304,123.286,10.874,3.9,false,,0,data/raw/tep4/ar/fixed/c4.json
foureyes-20260827-qwen-handoff,external_user_handoff,SEALED_PRIMARY_EXTERNAL,primary,Qwen/Qwen3.8-Flash-Next-FP8,bcd9f01ddc9cff2316eb84281bebcd5b058bddce,vLLM,fp8_tep4_ar,TEP4,0,8192,1024,8,40,40,65.398915,626.310087,154.390,12.621,8.0,false,,0,data/raw/tep4/ar/fixed/c8.json
foureyes-20260827-qwen-handoff,external_user_handoff,SEALED_PRIMARY_EXTERNAL,primary,Qwen/Qwen3.8-Flash-Next-FP8,bcd9f01ddc9cff2316eb84281bebcd5b058bddce,vLLM,fp8_tep4_ar,TEP4,0,8192,1024,16,80,80,79.383834,1031.948144,232.754,15.182,15.8,false,,0,data/raw/tep4/ar/fixed/c16.json
foureyes-20260827-qwen-handoff,external_user_handoff,SEALED_PRIMARY_EXTERNAL,primary,Qwen/Qwen3.8-Flash-Next-FP8,bcd9f01ddc9cff2316eb84281bebcd5b058bddce,vLLM,fp8_tep4_ar,TEP4,0,8192,1024,32,160,160,97.436118,1681.511982,374.742,18.612,30.9,false,,0,data/raw/tep4/ar/fixed/c32.json
foureyes-20260827-qwen-handoff,external_user_handoff,SEALED_PRIMARY_EXTERNAL,primary,Qwen/Qwen3.8-Flash-Next-FP8,bcd9f01ddc9cff2316eb84281bebcd5b058bddce,vLLM,fp8_tep4_ar,TEP4,0,8192,1024,64,320,320,123.494885,2653.389249,544.903,23.620,63.1,false,,0,data/raw/tep4/ar/fixed/c64.json
foureyes-20260827-qwen-handoff,external_user_handoff,SEALED_PRIMARY_EXTERNAL,primary,Qwen/Qwen3.8-Flash-Next-FP8,bcd9f01ddc9cff2316eb84281bebcd5b058bddce,vLLM,fp8_tep4_ar,TEP4,0,8192,1024,128,640,640,178.624345,3668.928772,914.073,33.901,124.7,true,,0,data/raw/tep4/ar/fixed/c128.json
foureyes-20260827-qwen-handoff,external_user_handoff,SEALED_PRIMARY_EXTERNAL,primary,Qwen/Qwen3.8-Flash-Next-FP8,bcd9f01ddc9cff2316eb84281bebcd5b058bddce,vLLM,fp8_tep4_mtp3,TEP4,3,8192,1024,1,5,5,25.740375,198.909299,124.477,4.819,1.0,false,,0,data/raw/tep4/mtp3/fixed/c1.json
