scope,precision,fp8_dpa,fp8_mha,batch_per_rank,world_size,global_tokens_per_step,mean_step_ms,tokens_per_second,peak_allocated_mib,peak_reserved_mib,measure_steps
one_node,bf16,false,false,8,1,16384,66.770285,245378.614,16488.704,19000,5
one_node,fp8-delayed,false,false,8,1,16384,41.584505,393992.902,16870.814,18936,5
one_node,fp8-delayed,true,false,8,1,16384,40.067180,408913.232,15590.818,17448,5
one_node,fp8-delayed,true,true,8,1,16384,41.055149,399072.963,15590.818,17608,5
one_node,mxfp8,false,false,8,1,16384,46.243034,354302.015,19408.758,21384,5
one_node,mxfp8,true,false,8,1,16384,47.106407,347808.313,19456.008,21492,5
one_node,bf16,false,false,16,1,32768,134.007939,244522.826,27377.204,32120,7
one_node,fp8-delayed,true,false,16,1,32768,80.519835,406955.626,24541.318,26920,7
one_node,mxfp8,false,false,16,1,32768,90.260936,363036.341,31185.508,33964,7
one_node,bf16,false,false,32,1,65536,265.617179,246731.030,49154.204,52878,7
one_node,fp8-delayed,true,false,32,1,65536,159.823587,410052.117,42442.318,45242,7
one_node,mxfp8,false,false,32,1,65536,180.044085,363999.740,54738.258,57816,7
one_node,bf16,false,false,64,1,131072,533.638349,245619.529,92708.204,101800,7
one_node,fp8-delayed,true,false,64,1,131072,317.168056,413257.254,78244.318,87736,7
one_node,mxfp8,false,false,64,1,131072,359.690696,364401.975,101841.259,112506,7
two_node,bf16,false,false,64,2,262144,541.236438,484342.852,96420.330,104846,10
two_node,fp8-delayed,true,false,64,2,262144,320.738556,817313.651,81956.444,89486,10
two_node,mxfp8,false,false,64,2,262144,361.744803,724665.560,105554.297,114066,10
